source,destination,factor,device,action,site,time,source_mac,source_ip,source_port,destination_mac,destination_ip,destination_port,requests,size,destination_user,source_user,source_group,destination_group,source_device,destination_device,info
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:08:18",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,2,196,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:07:19",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,4,392,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),142.250.187.163(Unknown Device),TooEarly,android-vm,allow,controller-1,"24-10-2022, 15:06:14",08:00:27:d8:b6:a4,192.168.192.2,48904,08:00:27:c9:84:8e,142.250.187.163,80,2,132,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:06:14",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,4,392,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:05:20",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,4,392,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),142.250.187.104(Unknown Device),TLS.Google,android-vm,allow,controller-1,"24-10-2022, 15:04:37",08:00:27:d8:b6:a4,192.168.192.2,49638,08:00:27:c9:84:8e,142.250.187.104,443,1,66,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),142.250.187.163(Unknown Device),HTTP.Google,android-vm,allow,controller-1,"24-10-2022, 15:04:10",08:00:27:d8:b6:a4,192.168.192.2,48904,08:00:27:c9:84:8e,142.250.187.163,80,3,467,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:03:16",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,4,392,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),192.168.192.1(Unknown Device),ICMP,android-vm,allow,controller-1,"24-10-2022, 15:02:11",08:00:27:d8:b6:a4,192.168.192.2,0,08:00:27:c9:84:8e,192.168.192.1,0,4,392,,"12319431048  ",,,android-vm,,[object Object]
192.168.192.2(android-vm),142.250.187.170(Unknown Device),TLS.Google,android-vm,allow,controller-1,"24-10-2022, 15:02:00",08:00:27:d8:b6:a4,192.168.192.2,40226,08:00:27:c9:84:8e,142.250.187.170,443,1,78,,"12319431048  ",,,android-vm,,[object Object]
