source,destination,factor,device,action,site,time,source_mac,source_ip,source_port,destination_mac,destination_ip,destination_port,requests,size,destination_user,source_user,source_group,destination_group,source_device,destination_device,info
192.168.192.4(win10-vm),172.217.17.99(Unknown Device),TLS.Google,win10-vm,allow,controller-1,"25-10-2022, 23:47:11",08:00:27:4b:5a:4e,192.168.192.4,54009,08:00:27:c9:84:8e,172.217.17.99,443,12,2505,,,,,win10-vm,,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),TLS.GoogleServices,win10-vm,allow,,"25-10-2022, 23:47:11",08:00:27:c9:84:8e,192.168.192.1,3133,08:00:27:4b:5a:4e,192.168.192.4,54009,10,1884,,,,,,win10-vm,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),DNS,win10-vm,allow,,"25-10-2022, 23:47:00",08:00:27:c9:84:8e,192.168.192.1,53,08:00:27:4b:5a:4e,192.168.192.4,65075,2,252,,,,,,win10-vm,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),DNS.Microsoft,win10-vm,allow,,"25-10-2022, 23:47:00",08:00:27:c9:84:8e,192.168.192.1,53,08:00:27:4b:5a:4e,192.168.192.4,62852,3,385,,,,,,win10-vm,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),DNS,win10-vm,allow,,"25-10-2022, 23:47:00",08:00:27:c9:84:8e,192.168.192.1,53,08:00:27:4b:5a:4e,192.168.192.4,64972,2,216,,,,,,win10-vm,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),HTTP.Microsoft,win10-vm,allow,,"25-10-2022, 23:46:49",08:00:27:c9:84:8e,192.168.192.1,3132,08:00:27:4b:5a:4e,192.168.192.4,53997,5,393,,,,,,win10-vm,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),HTTP.Microsoft,win10-vm,allow,,"25-10-2022, 23:46:49",08:00:27:c9:84:8e,192.168.192.1,3132,08:00:27:4b:5a:4e,192.168.192.4,53998,5,393,,,,,,win10-vm,[object Object]
192.168.192.4(win10-vm),13.107.4.52(Unknown Device),TooEarly,win10-vm,allow,controller-1,"25-10-2022, 23:46:49",08:00:27:4b:5a:4e,192.168.192.4,53997,08:00:27:c9:84:8e,13.107.4.52,80,5,645,,,,,win10-vm,,[object Object]
192.168.192.4(win10-vm),13.107.4.52(Unknown Device),TooEarly,win10-vm,allow,controller-1,"25-10-2022, 23:46:49",08:00:27:4b:5a:4e,192.168.192.4,53998,08:00:27:c9:84:8e,13.107.4.52,80,5,645,,,,,win10-vm,,[object Object]
192.168.192.1(Unknown Device),192.168.192.4(win10-vm),DNS,win10-vm,allow,,"25-10-2022, 23:46:32",08:00:27:c9:84:8e,192.168.192.1,53,08:00:27:4b:5a:4e,192.168.192.4,51471,2,252,,,,,,win10-vm,[object Object]
